Unnamed: 0,Outgoing Unique Partners,Outgoing Synapses,Incoming Unique Partners,Incoming Synapses,Combined Unique Partners,Combined Synapses
I1L,11,38.0,4,6.0,11,44.0
I1R,13,32.0,4,4.0,14,36.0
I2L,10,68.0,6,21.0,10,89.0
I2R,12,81.0,7,24.0,12,105.0
I3,13,21.0,7,29.0,13,50.0
I4,8,66.0,10,60.0,12,126.0
I5,14,58.0,11,21.0,16,79.0
I6,8,90.0,6,12.0,9,102.0
M1,11,28.0,7,18.0,11,46.0
M2L,5,16.0,7,19.0,9,35.0
M2R,5,8.0,3,7.0,8,15.0
M3L,1,1.0,11,60.0,11,61.0
M3R,1,2.0,12,68.0,13,70.0
M4,6,24.0,9,74.0,13,98.0
M5,2,2.0,2,3.0,2,5.0
MCL,0,0.0,6,11.0,6,11.0
MCR,0,0.0,3,8.0,3,8.0
MI,11,26.0,6,15.0,13,41.0
NSML,6,44.0,10,89.0,13,133.0
NSMR,5,33.0,10,88.0,11,121.0
ASIL,17,43.0,5,17.0,19,60.0
ASIR,12,27.0,4,6.0,14,33.0
ASJL,7,53.0,7,13.0,12,66.0
ASJR,3,32.0,3,10.0,6,42.0
AWAL,8,54.0,4,18.0,10,72.0
AWAR,13,93.0,11,21.0,18,114.0
ASGL,4,67.0,7,17.0,9,84.0
ASGR,4,75.0,11,26.0,13,101.0
AWBL,16,74.0,9,28.0,20,102.0
AWBR,15,40.0,8,19.0,18,59.0
ASEL,17,129.0,13,37.0,23,166.0
ASER,17,115.0,21,78.0,25,193.0
ADFL,20,136.0,10,42.0,23,178.0
ADFR,22,202.0,17,48.0,25,250.0
AFDL,7,36.0,10,28.0,13,64.0
AFDR,4,35.0,9,46.0,10,81.0
AWCL,14,67.0,12,57.0,20,124.0
AWCR,17,111.0,14,62.0,21,173.0
ASKL,5,48.0,9,50.0,10,98.0
ASKR,12,55.0,7,27.0,16,82.0
ASHL,20,141.0,10,22.0,24,163.0
ASHR,21,142.0,18,40.0,30,182.0
ADLL,24,148.0,9,19.0,28,167.0
ADLR,26,155.0,17,52.0,31,207.0
BAGL,19,78.0,10,43.0,23,121.0
BAGR,11,75.0,13,38.0,19,113.0
URXL,25,93.0,18,73.0,32,166.0
URXR,26,131.0,22,76.0,36,207.0
ALNL,8,21.0,4,14.0,10,35.0
ALNR,7,25.0,9,23.0,11,48.0
PLNL,3,25.0,4,27.0,5,52.0
PLNR,6,32.0,3,16.0,6,48.0
SDQL,20,60.0,6,31.0,22,91.0
SDQR,13,102.0,3,27.0,15,129.0
AQR,19,84.0,9,32.0,21,116.0
PQR,16,102.0,4,19.0,17,121.0
ALML,16,58.0,12,20.0,21,78.0
ALMR,8,32.0,4,8.0,11,40.0
AVM,20,91.0,3,5.0,21,96.0
PVM,9,49.0,5,13.0,10,62.0
PLML,7,64.0,0,0.0,7,64.0
PLMR,7,68.0,0,0.0,7,68.0
FLPL,16,241.0,7,25.0,18,266.0
FLPR,17,170.0,5,11.0,19,181.0
DVA,44,158.0,30,146.0,64,304.0
PVDL,12,119.0,7,85.0,16,204.0
PVDR,12,120.0,5,92.0,15,212.0
ADEL,36,131.0,8,48.0,37,179.0
ADER,25,85.0,11,36.0,27,121.0
PDEL,5,21.0,8,53.0,10,74.0
PDER,6,21.0,8,46.0,12,67.0
PHAL,11,60.0,2,14.0,11,74.0
PHAR,12,52.0,3,16.0,14,68.0
PHBL,11,172.0,5,17.0,15,189.0
PHBR,10,153.0,3,22.0,12,175.0
PHCL,10,39.0,3,7.0,12,46.0
PHCR,9,96.0,3,6.0,10,102.0
IL2DL,14,87.0,3,4.0,15,91.0
IL2DR,12,115.0,1,5.0,12,120.0
IL2L,12,102.0,9,15.0,16,117.0
IL2R,15,87.0,6,11.0,16,98.0
IL2VL,12,103.0,1,4.0,12,107.0
IL2VR,14,150.0,5,14.0,16,164.0
CEPDL,26,175.0,19,40.0,33,215.0
CEPDR,23,147.0,13,29.0,29,176.0
CEPVL,21,138.0,13,44.0,26,182.0
CEPVR,21,122.0,19,58.0,35,180.0
URYDL,11,65.0,8,23.0,14,88.0
URYDR,14,62.0,5,9.0,17,71.0
URYVL,20,128.0,3,10.0,20,138.0
URYVR,16,138.0,9,20.0,22,158.0
OLLL,16,174.0,11,44.0,20,218.0
OLLR,21,159.0,19,63.0,29,222.0
OLQDL,10,40.0,5,62.0,12,102.0
OLQDR,8,28.0,10,49.0,17,77.0
OLQVL,8,45.0,13,80.0,18,125.0
OLQVR,8,80.0,12,70.0,16,150.0
IL1DL,6,29.0,6,56.0,10,85.0
IL1DR,10,95.0,11,64.0,13,159.0
IL1L,12,76.0,9,33.0,14,109.0
IL1R,12,77.0,14,36.0,21,113.0
IL1VL,10,66.0,7,60.0,14,126.0
IL1VR,8,77.0,8,63.0,12,140.0
AINL,13,45.0,7,8.0,17,53.0
AINR,18,53.0,4,7.0,18,60.0
AIML,18,59.0,8,20.0,18,79.0
AIMR,23,66.0,8,17.0,26,83.0
RIH,29,266.0,24,110.0,38,376.0
URBL,16,62.0,5,17.0,18,79.0
URBR,24,71.0,9,38.0,26,109.0
RIR,26,103.0,21,70.0,33,173.0
AIYL,12,191.0,12,121.0,18,312.0
AIYR,14,202.0,12,130.0,19,332.0
AIAL,18,101.0,22,195.0,27,296.0
AIAR,13,89.0,15,189.0,17,278.0
AUAL,12,89.0,8,50.0,15,139.0
AUAR,10,80.0,10,51.0,14,131.0
AIZL,20,248.0,23,216.0,34,464.0
AIZR,16,187.0,18,206.0,27,393.0
RIS,26,184.0,19,40.0,33,224.0
ALA,8,172.0,5,12.0,12,184.0
PVQL,11,40.0,9,48.0,17,88.0
PVQR,18,44.0,12,38.0,29,82.0
ADAL,21,91.0,16,39.0,31,130.0
ADAR,18,97.0,16,46.0,30,143.0
RIFL,7,56.0,10,30.0,16,86.0
RIFR,20,83.0,14,41.0,28,124.0
BDUL,12,33.0,6,28.0,14,61.0
BDUR,13,56.0,7,31.0,16,87.0
PVR,29,147.0,17,42.0,41,189.0
AVFL,23,54.0,15,48.0,28,102.0
AVFR,22,52.0,12,38.0,26,90.0
AVHL,24,48.0,17,37.0,32,85.0
AVHR,19,46.0,17,26.0,30,72.0
PVPL,13,64.0,15,45.0,22,109.0
PVPR,21,76.0,17,29.0,30,105.0
LUAL,9,92.0,7,22.0,11,114.0
LUAR,12,93.0,6,29.0,13,122.0
PVNL,22,89.0,10,26.0,26,115.0
PVNR,33,74.0,16,45.0,43,119.0
AVG,23,58.0,14,47.0,32,105.0
DVB,8,61.0,2,2.0,9,63.0
RIBL,17,82.0,23,218.0,30,300.0
RIBR,20,61.0,21,226.0,29,287.0
RIGL,19,106.0,20,89.0,29,195.0
RIGR,19,89.0,15,109.0,27,198.0
RMGL,30,90.0,20,57.0,43,147.0
RMGR,27,100.0,13,39.0,32,139.0
AIBL,23,172.0,33,260.0,45,432.0
AIBR,26,129.0,32,286.0,46,415.0
RICL,20,94.0,17,86.0,30,180.0
RICR,22,99.0,21,105.0,36,204.0
SAADL,11,56.0,14,75.0,21,131.0
SAADR,15,87.0,13,68.0,22,155.0
SAAVL,10,129.0,11,52.0,17,181.0
SAAVR,14,107.0,12,46.0,18,153.0
AVKL,17,38.0,13,94.0,25,132.0
AVKR,18,39.0,12,76.0,25,115.0
DVC,17,106.0,17,37.0,28,143.0
AVJL,15,33.0,27,96.0,35,129.0
AVJR,17,58.0,27,81.0,37,139.0
PVT,13,60.0,20,50.0,30,110.0
AVDL,25,139.0,39,264.0,57,403.0
AVDR,30,155.0,46,237.0,66,392.0
AVL,18,53.0,17,65.0,30,118.0
PVWL,6,6.0,7,20.0,13,26.0
PVWR,7,9.0,6,8.0,11,17.0
RIAL,27,400.0,36,434.0,45,834.0
RIAR,26,450.0,35,414.0,45,864.0
RIML,25,185.0,26,218.0,36,403.0
RIMR,21,153.0,26,250.0,36,403.0
AVEL,24,124.0,46,304.0,62,428.0
AVER,25,133.0,44,295.0,60,428.0
RMFL,12,49.0,13,46.0,20,95.0
RMFR,6,26.0,10,47.0,14,73.0
RID,11,21.0,15,56.0,25,77.0
AVBL,23,65.0,45,338.0,58,403.0
AVBR,18,54.0,45,333.0,59,387.0
AVAL,43,258.0,65,667.0,94,925.0
AVAR,48,292.0,59,685.0,92,977.0
PVCL,36,158.0,34,284.0,58,442.0
PVCR,38,172.0,33,262.0,56,434.0
RIPL,7,22.0,17,189.0,22,211.0
RIPR,9,14.0,17,232.0,23,246.0
URADL,4,27.0,5,32.0,8,59.0
URADR,4,21.0,5,21.0,8,42.0
URAVL,12,57.0,8,33.0,15,90.0
URAVR,13,42.0,7,27.0,16,69.0
RMEL,4,5.0,12,73.0,15,78.0
RMER,3,12.0,16,86.0,16,98.0
RMED,5,8.0,13,62.0,16,70.0
RMEV,8,10.0,16,91.0,21,101.0
RMDDL,9,41.0,26,310.0,28,351.0
RMDDR,3,30.0,21,290.0,23,320.0
RMDL,21,88.0,25,172.0,34,260.0
RMDR,13,71.0,29,200.0,31,271.0
RMDVL,11,58.0,20,277.0,25,335.0
RMDVR,12,65.0,23,271.0,27,336.0
RIVL,9,43.0,13,42.0,16,85.0
RIVR,12,51.0,12,35.0,18,86.0
RMHL,9,11.0,17,70.0,24,81.0
RMHR,8,27.0,14,80.0,19,107.0
SABD,2,8.0,14,47.0,14,55.0
SABVL,1,1.0,8,50.0,9,51.0
SABVR,0,0.0,7,38.0,7,38.0
SMDDL,18,88.0,23,209.0,29,297.0
SMDDR,18,65.0,27,238.0,32,303.0
SMDVL,16,162.0,27,139.0,35,301.0
SMDVR,16,140.0,22,147.0,30,287.0
SMBDL,10,66.0,15,80.0,19,146.0
SMBDR,10,86.0,22,100.0,27,186.0
SMBVL,12,51.0,16,72.0,22,123.0
SMBVR,13,51.0,15,80.0,20,131.0
SIBDL,1,2.0,6,36.0,6,38.0
SIBDR,2,12.0,11,51.0,11,63.0
SIBVL,4,8.0,10,66.0,13,74.0
SIBVR,3,7.0,12,66.0,14,73.0
SIADL,7,52.0,12,53.0,15,105.0
SIADR,8,46.0,14,58.0,17,104.0
SIAVL,6,26.0,13,85.0,15,111.0
SIAVR,3,13.0,14,76.0,15,89.0
DA1,6,45.0,9,65.0,13,110.0
DA2,6,38.0,13,50.0,17,88.0
DA3,6,65.0,12,62.0,16,127.0
DA4,4,38.0,11,37.0,14,75.0
DA5,5,37.0,14,41.0,17,78.0
DA6,7,41.0,7,13.0,13,54.0
DA7,6,37.0,7,26.0,13,63.0
DA8,10,42.0,16,64.0,26,106.0
DA9,12,47.0,10,55.0,20,102.0
PDA,6,30.0,1,2.0,7,32.0
DB1,10,127.0,6,8.0,11,135.0
DB2,9,88.0,7,18.0,14,106.0
DB3,10,76.0,9,21.0,19,97.0
DB4,7,41.0,9,19.0,14,60.0
DB5,9,53.0,6,11.0,14,64.0
DB6,7,40.0,1,1.0,8,41.0
DB7,10,36.0,11,28.0,18,64.0
AS1,5,36.0,11,73.0,13,109.0
AS2,4,27.0,9,27.0,12,54.0
AS3,3,26.0,6,16.0,9,42.0
AS4,5,31.0,9,25.0,12,56.0
AS5,5,18.0,8,20.0,12,38.0
AS6,4,26.0,4,12.0,7,38.0
AS7,1,20.0,6,26.0,7,46.0
AS8,1,20.0,6,32.0,7,52.0
AS9,1,20.0,4,20.0,5,40.0
AS1,2,20.0,9,21.0,11,41.0
AS11,4,26.0,10,38.0,13,64.0
PDB,3,14.0,1,2.0,4,16.0
DD1,2,4.0,25,185.0,25,189.0
DD2,3,4.0,17,126.0,19,130.0
DD3,1,1.0,17,165.0,17,166.0
DD4,0,0.0,11,106.0,11,106.0
DD5,0,0.0,10,103.0,10,103.0
DD6,2,4.0,22,153.0,22,157.0
VA1,3,16.0,8,43.0,10,59.0
VA2,8,55.0,11,44.0,15,99.0
VA3,7,48.0,10,38.0,15,86.0
VA4,7,37.0,10,34.0,12,71.0
VA5,5,35.0,9,20.0,11,55.0
VA6,9,55.0,9,29.0,13,84.0
VA7,8,50.0,5,20.0,11,70.0
VA8,10,46.0,5,19.0,13,65.0
VA9,10,36.0,7,27.0,15,63.0
VA1,10,38.0,6,19.0,15,57.0
VA11,8,47.0,12,39.0,16,86.0
VA12,17,100.0,14,62.0,25,162.0
VB1,16,75.0,13,37.0,25,112.0
VB2,8,67.0,10,17.0,14,84.0
VB3,5,57.0,7,18.0,9,75.0
VB4,8,28.0,7,10.0,12,38.0
VB5,3,46.0,4,11.0,5,57.0
VB6,8,63.0,6,14.0,11,77.0
VB7,6,53.0,8,9.0,12,62.0
VB8,5,42.0,5,7.0,9,49.0
VB9,5,42.0,2,2.0,6,44.0
VB1,5,36.0,2,7.0,5,43.0
VB11,7,51.0,5,11.0,9,62.0
VD1,3,15.0,11,70.0,12,85.0
VD2,5,19.0,13,119.0,14,138.0
VD3,4,13.0,14,142.0,15,155.0
VD4,2,3.0,15,110.0,15,113.0
VD5,6,8.0,13,91.0,16,99.0
VD6,5,12.0,14,114.0,16,126.0
VD7,4,6.0,10,112.0,12,118.0
VD8,5,11.0,7,62.0,10,73.0
VD9,2,5.0,11,73.0,11,78.0
VD1,2,3.0,9,48.0,9,51.0
VD11,5,8.0,12,76.0,15,84.0
VD12,5,20.0,17,98.0,18,118.0
VD13,7,21.0,13,61.0,17,82.0
HSNL,25,94.0,16,32.0,28,126.0
HSNR,36,69.0,19,52.0,46,121.0
VC1,16,54.0,5,13.0,17,67.0
VC2,16,55.0,7,17.0,20,72.0
VC3,24,73.0,5,11.0,25,84.0
VC4,4,5.0,2,5.0,5,10.0
VC5,9,22.0,4,19.0,9,41.0
VC6,6,33.0,2,2.0,6,35.0
